"DR2DAY.Code.or.Value","DR2DAY.Value.Description","DR2DAY.Count","DR2DAY.Cumulative","DR2DAY.Skip.to.Item"
"1","Sunday",22682,22682,NA
"2","Monday",30728,53410,NA
"3","Tuesday",27262,80672,NA
"4","Wednesday",32092,112764,NA
"5","Thursday",6863,119627,NA
"6","Friday",9698,129325,NA
"7","Saturday",2826,132151,NA
".","Missing",0,132151,NA
