"DR1IBCAR.Code.or.Value","DR1IBCAR.Value.Description","DR1IBCAR.Count","DR1IBCAR.Cumulative","DR1IBCAR.Skip.to.Item"
"0 to 48027","Range of Values",130285,130285,NA
".","Missing",879,131164,NA
