"DSQTIODI.Code.or.Value","DSQTIODI.Value.Description","DSQTIODI.Count","DSQTIODI.Cumulative","DSQTIODI.Skip.to.Item"
"0.67 to 37500","Range of Values",1889,1889,NA
".","Missing",8082,9971,NA
