"DXXPT39X.Code.or.Value","DXXPT39X.Value.Description","DXXPT39X.Count","DXXPT39X.Cumulative","DXXPT39X.Skip.to.Item"
"231.7 to 872.3","Range of Values",3301,3301,NA
".","Missing",407,3708,NA
