"TYXP145.Code.or.Value","TYXP145.Value.Description","TYXP145.Count","TYXP145.Cumulative","TYXP145.Skip.to.Item"
"-299 to 111","Range of Values",3880,3880,NA
".","Missing",1705,5585,NA
