"AAXBDST.Code.or.Value","AAXBDST.Value.Description","AAXBDST.Count","AAXBDST.Cumulative","AAXBDST.Skip.to.Item"
"1","Collected",6935,6935,NA
"2","Not collected",28,6963,NA
".","Missing",2477,9440,NA
