"CBQ738i.Code.or.Value","CBQ738i.Value.Description","CBQ738i.Count","CBQ738i.Cumulative","CBQ738i.Skip.to.Item"
"9","To compare which brand/food is better/healthier",2213,2213,NA
".","Missing",4186,6399,NA
