"OPDUIRP.Code.or.Value","OPDUIRP.Value.Description","OPDUIRP.Count","OPDUIRP.Cumulative","OPDUIRP.Skip.to.Item"
"0","No",3032,3032,NA
"1","Yes",162,3194,NA
".","Missing",669,3863,NA
