"DXXCRUDE.Code.or.Value","DXXCRUDE.Value.Description","DXXCRUDE.Count","DXXCRUDE.Cumulative","DXXCRUDE.Skip.to.Item"
"-0.352 to 0.339","Range of Values",3107,3107,NA
".","Missing",601,3708,NA
