"LBXV06.Code.or.Value","LBXV06.Value.Description","LBXV06.Count","LBXV06.Cumulative","LBXV06.Skip.to.Item"
"0.0863 to 21.5","Range of Values",2927,2927,NA
".","Missing",562,3489,NA
