"DRD370L.Code.or.Value","DRD370L.Value.Description","DRD370L.Count","DRD370L.Cumulative","DRD370L.Skip.to.Item"
"1","Yes",43,43,""
"2","No",5906,5949,"DRD370M"
".","Missing",4304,10253,""
