"LBXSIR.Code.or.Value","LBXSIR.Value.Description","LBXSIR.Count","LBXSIR.Cumulative","LBXSIR.Skip.to.Item"
"5 to 382","Range of Values",6432,6432,NA
".","Missing",548,6980,NA
