"AUXRR169.Code.or.Value","AUXRR169.Value.Description","AUXRR169.Count","AUXRR169.Cumulative","AUXRR169.Skip.to.Item"
"-15 to 132","Range of Values",2160,2160,NA
".","Missing",208,2368,NA
