"DXXPT9Y.Code.or.Value","DXXPT9Y.Value.Description","DXXPT9Y.Count","DXXPT9Y.Cumulative","DXXPT9Y.Skip.to.Item"
"115.5 to 332.5","Range of Values",3292,3292,NA
".","Missing",416,3708,NA
