"DR2IFDFE.Code.or.Value","DR2IFDFE.Value.Description","DR2IFDFE.Count","DR2IFDFE.Cumulative","DR2IFDFE.Skip.to.Item"
"0 to 3793","Range of Values",111931,111931,NA
".","Missing",647,112578,NA
