"BIDECF.Code.or.Value","BIDECF.Value.Description","BIDECF.Count","BIDECF.Cumulative","BIDECF.Skip.to.Item"
"5.36 to 29.63","Range of Values",4159,4159,NA
".","Missing",1170,5329,NA
