"DXXCRUDE.Code.or.Value","DXXCRUDE.Value.Description","DXXCRUDE.Count","DXXCRUDE.Cumulative","DXXCRUDE.Skip.to.Item"
"-0.236 to 0.307","Range of Values",3194,3194,NA
".","Missing",514,3708,NA
