"DR1TLZ.Code.or.Value","DR1TLZ.Value.Description","DR1TLZ.Count","DR1TLZ.Cumulative","DR1TLZ.Skip.to.Item"
"0 to 50656","Range of Values",9118,9118,NA
".","Missing",644,9762,NA
