"DX2LSA.Code.or.Value","DX2LSA.Value.Description","DX2LSA.Count","DX2LSA.Cumulative","DX2LSA.Skip.to.Item"
"27.16 to 146.71","Range of Values",443,443,NA
".","Missing",42,485,NA
