"URDUMNLC.Code.or.Value","URDUMNLC.Value.Description","URDUMNLC.Count","URDUMNLC.Cumulative","URDUMNLC.Skip.to.Item"
"0","At or above the detection limit",1029,1029,NA
"1","Below lower detection limit",1779,2808,NA
".","Missing",171,2979,NA
