"SSBPFOAL.Code.or.Value","SSBPFOAL.Value.Description","SSBPFOAL.Count","SSBPFOAL.Cumulative","SSBPFOAL.Skip.to.Item"
"0","At or above the detection limit",136,136,NA
"1","Below lower detection limit",389,525,NA
".","Missing",0,525,NA
