"CBQ698cd.Code.or.Value","CBQ698cd.Value.Description","CBQ698cd.Count","CBQ698cd.Cumulative","CBQ698cd.Skip.to.Item"
"91","Others",56,56,NA
".","Missing",6343,6399,NA
