"DS2TCHOL.Code.or.Value","DS2TCHOL.Value.Description","DS2TCHOL.Count","DS2TCHOL.Cumulative","DS2TCHOL.Skip.to.Item"
"1.3 to 106.8","Range of Values",198,198,NA
".","Missing",9564,9762,NA
