"DS2ICAFF.Code.or.Value","DS2ICAFF.Value.Description","DS2ICAFF.Count","DS2ICAFF.Cumulative","DS2ICAFF.Skip.to.Item"
"50 to 246","Range of Values",15,15,NA
".","Missing",5583,5598,NA
