"MCQ260GF.Code.or.Value","MCQ260GF.Value.Description","MCQ260GF.Count","MCQ260GF.Cumulative","MCQ260GF.Skip.to.Item"
"6","Father's father",46,46,NA
".","Missing",10424,10470,NA
