"DS1TVK.Code.or.Value","DS1TVK.Value.Description","DS1TVK.Count","DS1TVK.Cumulative","DS1TVK.Skip.to.Item"
"5 to 600","Range of Values",818,818,NA
".","Missing",8726,9544,NA
