"DS2TCARB.Code.or.Value","DS2TCARB.Value.Description","DS2TCARB.Count","DS2TCARB.Cumulative","DS2TCARB.Skip.to.Item"
"0.15 to 42","Range of Values",878,878,NA
".","Missing",8460,9338,NA
