"AUXR3KL.Code.or.Value","AUXR3KL.Value.Description","AUXR3KL.Count","AUXR3KL.Cumulative","AUXR3KL.Skip.to.Item"
"5 to 115","Range of Values",14,14,NA
"666","No response",0,14,NA
"888","Could not obtain",0,14,NA
".","Missing",1793,1807,NA
