"RFXC147.Code.or.Value","RFXC147.Value.Description","RFXC147.Count","RFXC147.Cumulative","RFXC147.Skip.to.Item"
"-4.983 to 7.292","Range of Values",51052,51052,NA
".","Missing",24,51076,NA
