"FSD071.Code.or.Value","FSD071.Value.Description","FSD071.Count","FSD071.Cumulative","FSD071.Skip.to.Item"
"1","Yes",783,783,NA
"2","No",2915,3698,NA
"7","Refused",0,3698,NA
"9","Don't know",1,3699,NA
".","Missing",6838,10537,NA
