"LBXBAPCT.Code.or.Value","LBXBAPCT.Value.Description","LBXBAPCT.Count","LBXBAPCT.Cumulative","LBXBAPCT.Skip.to.Item"
"0 to 17.3","Range of Values",8353,8353,NA
".","Missing",826,9179,NA
