"WTFSM.Code.or.Value","WTFSM.Value.Description","WTFSM.Count","WTFSM.Cumulative","WTFSM.Skip.to.Item"
"6426.907677 to 456840.9815","Range of Values",2546,2546,NA
"0","No Lab Result",59,2605,NA
".","Missing",0,2605,NA
