"URXUBA.Code.or.Value","URXUBA.Value.Description","URXUBA.Count","URXUBA.Cumulative","URXUBA.Skip.to.Item"
"0.042 to 60.11","Range of Values",2664,2664,NA
".","Missing",91,2755,NA
