"TYXP252.Code.or.Value","TYXP252.Value.Description","TYXP252.Count","TYXP252.Cumulative","TYXP252.Skip.to.Item"
"-298 to 154","Range of Values",72,72,NA
".","Missing",5513,5585,NA
