"TYXP171.Code.or.Value","TYXP171.Value.Description","TYXP171.Count","TYXP171.Cumulative","TYXP171.Skip.to.Item"
"-293 to 171","Range of Values",1350,1350,NA
".","Missing",4235,5585,NA
