"LBDSTBSI.Code.or.Value","LBDSTBSI.Value.Description","LBDSTBSI.Count","LBDSTBSI.Cumulative","LBDSTBSI.Skip.to.Item"
"1.7 to 71.8","Range of Values",6230,6230,NA
".","Missing",528,6758,NA
