"TYXP135.Code.or.Value","TYXP135.Value.Description","TYXP135.Count","TYXP135.Cumulative","TYXP135.Skip.to.Item"
"-299 to 62","Range of Values",4683,4683,NA
".","Missing",902,5585,NA
