"LBXD01.Code.or.Value","LBXD01.Value.Description","LBXD01.Count","LBXD01.Cumulative","LBXD01.Skip.to.Item"
"2.76 to 212.2","Range of Values",1878,1878,NA
".","Missing",407,2285,NA
