"WBXP107.Code.or.Value","WBXP107.Value.Description","WBXP107.Count","WBXP107.Cumulative","WBXP107.Skip.to.Item"
"-176.4537 to 174.8211","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
