"SMD740.Code.or.Value","SMD740.Value.Description","SMD740.Count","SMD740.Cumulative","SMD740.Skip.to.Item"
"1 to 5","Range of Values",15,15,NA
"7","Refused",0,15,NA
"9","Don't know",0,15,NA
".","Missing",6743,6758,NA
