"RHQ586Q.Code.or.Value","RHQ586Q.Value.Description","RHQ586Q.Count","RHQ586Q.Cumulative","RHQ586Q.Skip.to.Item"
"1 to 22","Range of Values",49,49,NA
"77","Refused",0,49,NA
"99","Don't know",1,50,NA
".","Missing",3434,3484,NA
