"OSD030cg.Code.or.Value","OSD030cg.Value.Description","OSD030cg.Count","OSD030cg.Cumulative","OSD030cg.Skip.to.Item"
"45","45",1,1,NA
"85","85 or older",0,1,NA
"77777","Refused",0,1,NA
"99999","Don't know",0,1,NA
".","Missing",4978,4979,NA
