"URXAPE.Code.or.Value","URXAPE.Value.Description","URXAPE.Count","URXAPE.Cumulative","URXAPE.Skip.to.Item"
"0.19 to 21.47","Range of Values",2505,2505,NA
".","Missing",189,2694,NA
