"SSNPFOS.Code.or.Value","SSNPFOS.Value.Description","SSNPFOS.Count","SSNPFOS.Cumulative","SSNPFOS.Skip.to.Item"
"0.07 to 1270","Range of Values",1954,1954,NA
".","Missing",0,1954,NA
