"URDBPMLC.Code.or.Value","URDBPMLC.Value.Description","URDBPMLC.Count","URDBPMLC.Cumulative","URDBPMLC.Skip.to.Item"
"0","At or above the detection limit",1810,1810,NA
"1","Below lower detection limit",821,2631,NA
".","Missing",124,2755,NA
