"URDMNMLC.Code.or.Value","URDMNMLC.Value.Description","URDMNMLC.Count","URDMNMLC.Cumulative","URDMNMLC.Skip.to.Item"
"0","At or above the detection limit",1040,1040,NA
"1","Below lower detection limit",1508,2548,NA
".","Missing",90,2638,NA
