"URXOP2.Code.or.Value","URXOP2.Value.Description","URXOP2.Count","URXOP2.Cumulative","URXOP2.Skip.to.Item"
"0.07 to 539","Range of Values",2417,2417,NA
".","Missing",88,2505,NA
