"AUXR6KR.Code.or.Value","AUXR6KR.Value.Description","AUXR6KR.Count","AUXR6KR.Cumulative","AUXR6KR.Skip.to.Item"
"0 to 50","Range of Values",2,2,NA
"666","No response",0,2,NA
"888","Could not obtain",0,2,NA
".","Missing",1208,1210,NA
