"URXHCTT.Code.or.Value","URXHCTT.Value.Description","URXHCTT.Count","URXHCTT.Cumulative","URXHCTT.Skip.to.Item"
"0.021 to 70600","Range of Values",2453,2453,NA
".","Missing",152,2605,NA
