"AUXLR233.Code.or.Value","AUXLR233.Value.Description","AUXLR233.Count","AUXLR233.Cumulative","AUXLR233.Skip.to.Item"
"-12 to 68","Range of Values",1664,1664,NA
".","Missing",143,1807,NA
