"URDP01LC.Code.or.Value","URDP01LC.Value.Description","URDP01LC.Count","URDP01LC.Cumulative","URDP01LC.Skip.to.Item"
"0","At or above the detection limit",2915,2915,NA
"1","Below lower detection limit",11,2926,NA
".","Missing",353,3279,NA
