"URDMHHLC.Code.or.Value","URDMHHLC.Value.Description","URDMHHLC.Count","URDMHHLC.Cumulative","URDMHHLC.Skip.to.Item"
"0","At or above the detection limit",2961,2961,NA
"1","Below lower detection limit",14,2975,NA
".","Missing",230,3205,NA
