"URXUTU.Code.or.Value","URXUTU.Value.Description","URXUTU.Count","URXUTU.Cumulative","URXUTU.Skip.to.Item"
"0.015 to 33.07","Range of Values",2627,2627,NA
".","Missing",93,2720,NA
