"DSD010AN.Code.or.Value","DSD010AN.Value.Description","DSD010AN.Count","DSD010AN.Cumulative","DSD010AN.Skip.to.Item"
"1","Yes",859,859,NA
"2","No",9286,10145,NA
"7","Refused",2,10147,NA
"9","Don't know",2,10149,NA
".","Missing",0,10149,NA
