"URXHP2.Code.or.Value","URXHP2.Value.Description","URXHP2.Count","URXHP2.Cumulative","URXHP2.Skip.to.Item"
"3.75 to 9360","Range of Values",2240,2240,NA
".","Missing",109,2349,NA
