"DSQTVC.Code.or.Value","DSQTVC.Value.Description","DSQTVC.Count","DSQTVC.Cumulative","DSQTVC.Skip.to.Item"
"0.017 to 6533.333","Range of Values",2846,2846,NA
".","Missing",7125,9971,NA
