"HSQ580.Code.or.Value","HSQ580.Value.Description","HSQ580.Count","HSQ580.Cumulative","HSQ580.Skip.to.Item"
"1 to 12","Range of Values",238,238,NA
"77","Refused",0,238,NA
"99","Don't know",8,246,NA
".","Missing",8586,8832,NA
