"DXXCRURT.Code.or.Value","DXXCRURT.Value.Description","DXXCRURT.Count","DXXCRURT.Cumulative","DXXCRURT.Skip.to.Item"
"0.5 to 1.3","Range of Values",3242,3242,NA
".","Missing",466,3708,NA
