"DIQ190A.Code.or.Value","DIQ190A.Value.Description","DIQ190A.Count","DIQ190A.Cumulative","DIQ190A.Skip.to.Item"
"1","Yes",1387,1387,NA
"2","No",5874,7261,NA
"7","Refused",0,7261,NA
"9","Don't know",6,7267,NA
".","Missing",2555,9822,NA
