"RFXC116.Code.or.Value","RFXC116.Value.Description","RFXC116.Count","RFXC116.Cumulative","RFXC116.Skip.to.Item"
"-5.618 to 5.55","Range of Values",51057,51057,NA
".","Missing",19,51076,NA
