"AUXLR272.Code.or.Value","AUXLR272.Value.Description","AUXLR272.Count","AUXLR272.Cumulative","AUXLR272.Skip.to.Item"
"-18 to 74","Range of Values",3831,3831,NA
".","Missing",669,4500,NA
