"URDGP2LC.Code.or.Value","URDGP2LC.Value.Description","URDGP2LC.Count","URDGP2LC.Cumulative","URDGP2LC.Skip.to.Item"
"0","At or above the detection limit",8,8,NA
"1","Below lower detection limit",2564,2572,NA
"2","Detectable result and exceeds the calibrated range of assay",0,2572,NA
".","Missing",183,2755,NA
