"LBCBB1LA.Code.or.Value","LBCBB1LA.Value.Description","LBCBB1LA.Count","LBCBB1LA.Cumulative","LBCBB1LA.Skip.to.Item"
"0.1344 to 129.2","Range of Values",284,284,NA
".","Missing",0,284,NA
