"LBDSF6LC.Code.or.Value","LBDSF6LC.Value.Description","LBDSF6LC.Count","LBDSF6LC.Cumulative","LBDSF6LC.Skip.to.Item"
"0","At or above the detection limit",7356,7356,NA
"1","Below lower detection limit",130,7486,NA
".","Missing",1470,8956,NA
